[30-12-2019 15:04:25] - SN:519364100117, MODELO:TG1692A
[30-12-2019 15:08:14] - SN:519364100218, MODELO:TG1692A
[30-12-2019 15:22:15] - SN:519364100319, MODELO:TG1692A
[30-12-2019 15:22:21] - SN:519364100420, MODELO:TG1692A
[30-12-2019 15:22:21] - SN:519364100521, MODELO:TG1692A
[30-12-2019 15:22:21] - SN:519364100622, MODELO:TG1692A
[30-12-2019 15:22:21] - SN:519364100723, MODELO:TG1692A
[30-12-2019 15:22:21] - SN:519364100824, MODELO:TG1692A
[30-12-2019 15:22:21] - SN:519364100925, MODELO:TG1692A
[30-12-2019 15:22:21] - SN:519364101026, MODELO:TG1692A
[30-12-2019 15:22:21] - SN:519364101127, MODELO:TG1692A
[30-12-2019 15:22:22] - SN:519364101228, MODELO:TG1692A
[30-12-2019 15:22:22] - SN:519364101329, MODELO:TG1692A
[30-12-2019 15:22:22] - SN:519364101430, MODELO:TG1692A
[30-12-2019 15:22:22] - SN:519364101531, MODELO:TG1692A
[30-12-2019 15:22:22] - SN:519364101632, MODELO:TG1692A
[30-12-2019 15:22:22] - SN:519364101733, MODELO:TG1692A
[30-12-2019 15:22:22] - SN:519364101834, MODELO:TG1692A
[30-12-2019 15:22:22] - SN:519364101935, MODELO:TG1692A
[30-12-2019 15:22:22] - SN:519364102036, MODELO:TG1692A
[30-12-2019 15:22:23] - SN:519364102137, MODELO:TG1692A
[30-12-2019 15:22:23] - SN:519364102238, MODELO:TG1692A
[30-12-2019 15:22:23] - SN:519364102339, MODELO:TG1692A
[30-12-2019 15:22:23] - SN:519364102440, MODELO:TG1692A
[30-12-2019 15:22:23] - SN:519364102541, MODELO:TG1692A
[30-12-2019 15:22:23] - SN:519364102642, MODELO:TG1692A
[30-12-2019 15:22:23] - SN:519364102743, MODELO:TG1692A
[30-12-2019 15:22:23] - SN:519364102844, MODELO:TG1692A
[30-12-2019 15:22:23] - SN:519364102945, MODELO:TG1692A
[30-12-2019 15:22:24] - SN:519364103046, MODELO:TG1692A
[30-12-2019 15:22:24] - SN:519364103147, MODELO:TG1692A
[30-12-2019 15:22:24] - SN:519364103248, MODELO:TG1692A
[30-12-2019 15:22:24] - SN:519364103349, MODELO:TG1692A
[30-12-2019 15:22:24] - SN:519364103450, MODELO:TG1692A
[30-12-2019 15:22:24] - SN:519364103551, MODELO:TG1692A
[30-12-2019 15:22:24] - SN:519364103652, MODELO:TG1692A
[30-12-2019 15:22:24] - SN:519364103753, MODELO:TG1692A
[30-12-2019 15:22:24] - SN:519364103854, MODELO:TG1692A
[30-12-2019 15:22:24] - SN:519364103955, MODELO:TG1692A
[30-12-2019 15:22:25] - SN:519364104056, MODELO:TG1692A
[30-12-2019 15:22:25] - SN:519364104157, MODELO:TG1692A
[30-12-2019 15:22:25] - SN:519364104258, MODELO:TG1692A
[30-12-2019 15:22:25] - SN:519364104359, MODELO:TG1692A
[30-12-2019 15:22:25] - SN:519364104460, MODELO:TG1692A
[30-12-2019 15:22:25] - SN:519364104561, MODELO:TG1692A
[30-12-2019 15:22:25] - SN:519364104662, MODELO:TG1692A
[30-12-2019 15:22:25] - SN:519364104763, MODELO:TG1692A
[30-12-2019 15:22:25] - SN:519364104864, MODELO:TG1692A
[30-12-2019 15:22:26] - SN:519364104965, MODELO:TG1692A
[30-12-2019 15:22:26] - SN:519364105066, MODELO:TG1692A
[30-12-2019 15:22:26] - SN:519364105167, MODELO:TG1692A
[30-12-2019 15:22:26] - SN:519364105268, MODELO:TG1692A
[30-12-2019 15:22:26] - SN:519364105369, MODELO:TG1692A
[30-12-2019 15:22:26] - SN:519364105470, MODELO:TG1692A
[30-12-2019 15:22:26] - SN:519364105571, MODELO:TG1692A
[30-12-2019 15:22:26] - SN:519364105672, MODELO:TG1692A
[30-12-2019 15:22:26] - SN:519364105773, MODELO:TG1692A
[30-12-2019 15:22:27] - SN:519364105874, MODELO:TG1692A
[30-12-2019 15:22:27] - SN:519364105975, MODELO:TG1692A
[30-12-2019 15:22:27] - SN:519364106076, MODELO:TG1692A
[30-12-2019 15:22:27] - SN:519364106177, MODELO:TG1692A
[30-12-2019 15:22:27] - SN:519364106278, MODELO:TG1692A
[30-12-2019 15:22:27] - SN:519364106379, MODELO:TG1692A
[30-12-2019 15:22:27] - SN:519364106480, MODELO:TG1692A
[30-12-2019 15:22:27] - SN:519364106581, MODELO:TG1692A
[30-12-2019 15:22:27] - SN:519364106682, MODELO:TG1692A
[30-12-2019 15:22:28] - SN:519364106783, MODELO:TG1692A
[30-12-2019 15:22:28] - SN:519364106884, MODELO:TG1692A
[30-12-2019 15:22:28] - SN:519364106985, MODELO:TG1692A
[30-12-2019 15:22:28] - SN:519364107086, MODELO:TG1692A
[30-12-2019 15:22:28] - SN:519364107187, MODELO:TG1692A
[30-12-2019 15:22:28] - SN:519364107288, MODELO:TG1692A
[30-12-2019 15:22:28] - SN:519364107389, MODELO:TG1692A
[30-12-2019 15:22:28] - SN:519364107490, MODELO:TG1692A
[30-12-2019 15:22:28] - SN:519364107591, MODELO:TG1692A
[30-12-2019 15:22:29] - SN:519364107692, MODELO:TG1692A
[30-12-2019 15:22:29] - SN:519364107793, MODELO:TG1692A
[30-12-2019 15:22:29] - SN:519364107894, MODELO:TG1692A
[30-12-2019 15:22:29] - SN:519364107995, MODELO:TG1692A
[30-12-2019 15:22:29] - SN:519364108096, MODELO:TG1692A
[30-12-2019 15:22:29] - SN:519364108197, MODELO:TG1692A
[30-12-2019 15:22:29] - SN:519364108298, MODELO:TG1692A
[30-12-2019 15:22:29] - SN:519364108399, MODELO:TG1692A
[30-12-2019 15:22:29] - SN:519364108400, MODELO:TG1692A
[30-12-2019 15:22:30] - SN:519364108501, MODELO:TG1692A
